Description,AvgProfitMargin,TotalSalesDollars,TargetBrand
(RI) 1,18.060661487079603,21519.09,No
.nparalleled Svgn Blanc,29.978166138329854,1094.63,No
10 Span Cab Svgn CC,20.93761210700138,2703.89,No
10 Span Chard CC,27.806444628874534,3325.56,No
10 Span Pnt Gris Monterey Cy,32.22618167148524,2082.22,No
10 Span Pnt Nr CC,25.83608410395864,2441.74,No
12 Days of Pearls Gift Set,97.67832348477509,309.69,Yes
13 Celsius Svgn Bl,57.6699784349743,34041.23,No
13th Colony Sthrn Corn Whsky,42.446223111555774,359.82,No
14 Hands Cab Svgn Wash,38.22745980888871,273570.44,No
14 Hands Chard Wash,38.44744943688866,58250.47,No
14 Hands Hot to Trot Red,34.82224556884807,168780.04,No
14 Hands Hot to Trot White,40.02664385024625,16198.86,No
14 Hands Merlot Wash,42.287691712072316,148235.97,No
14 Hands Moscato,28.512184426486243,798.15,No
14 Hands Pinot Grigio,37.10578688485183,40353.49,No
14 Hands Red Blend Ltd,45.94594594594595,9570.42,No
14 Hands Red Blend Stampede,27.870044385584748,25884.53,No
14 Hands Rsl Wash,22.781666290359006,531.48,No
14 Hands Svgn Bl,38.90003966203142,16640.6,No
1792 Full Proof Bourbon,24.50862784903571,3576.21,No
1792 Port Finish Bourbon,23.080770192548137,6998.25,No
1792 Single Barrel Bourbon,21.448521503727438,2445.3900000000003,No
1792 Sweet Wheat Bourbon,21.418815119980064,3170.11,No
1800 Anejo Tequila,35.02608126588642,30316.780000000002,No
1800 Coconut Tequila,33.445626987717446,199138.59,No
1800 Reposado Gold Tequila,26.561876265024047,511933.9,No
1800 Select Silver Tequila,89.44577770054806,2129.29,No
1800 Silver Tequila,33.72690854199998,701881.81,No
1800 Silver w/ Shot Glasses,29.307015620979193,31476.899999999998,No
1800 Ultimate Margarita RTD,31.938179392612735,149258.31999999998,No
1800 Ultimate Peach Margrita,33.595948031822985,46049.719999999994,No
19 Crimes Cab Svgn,33.90014072957654,63682.42,No
19 Crimes Red,23.339725944863208,195851.1,No
19 Crimes Warden Red,23.088173322426318,2823.87,No
2 Copas Spain White,33.33333333333333,119.88,No
2 Gingers Irish Whiskey,40.88734232274901,321.85999999999996,No
20 Mile 09 Brdx Superior,83.76900506801813,1949.48,No
24 Knots Pnt Nr,47.9896993917148,9393.62,No
3 Ball Znfdl,25.28129454179593,14312.4,No
3 Blind Moose Cab Svgn Cal,55.080250990232436,6344.47,No
3 Blind Moose Chard Cal,50.892678828731434,6058.7300000000005,No
3 Blind Moose Merlot Cal,56.1424656746046,6951.85,No
3 Blind Moose Pnt Grigio Cal,56.373678712952156,7285.51,No
3 Brooms Svgn Bl Marlborough,32.92796861815382,25206.93,No
4 Orange Vodka,85.90268303774444,483.78,Yes
44* North Huckleberry Vodka,12.87664493912187,1057.03,No
44* North Magic Valley Vodka,53.846153846153854,1349.4,No
900 Grapes Svgn Bl,32.43243243243243,59.94,No
99 Apples Schnapps Liqueur,43.097952706349524,46523.37,No
99 Bananas,44.6236860699074,70779.07,No
99 Blackberries,9.834653025314507,16537.95,No
A Bichot Adelie Mercury,72.03834461116014,815.76,No
A Bichot Ch Gris Nuits St Ge,93.73083265268383,648.89,No
A Bichot Chablis Long Depaqt,25.219646388159845,13133.609999999999,No
A Bichot Chablis Vaucopins,96.33001527620362,1623.44,No
A Bichot Chard Bourgogne,19.433646036152947,7452.2300000000005,No
A Bichot Clos Marechaudes,67.74086009556618,539.94,Yes
A Bichot Cremant Brut Rose,15.983740267527265,3402.27,No
A Bichot Merc Champs M,94.5529968209661,515.88,Yes
A Bichot Morgon Les Charmes,84.25701912886356,9209.119999999999,No
A Bichot Petit Chablis,33.815350389321466,8693.33,No
A Bichot Pnt Nr Bourgogne,36.545259701001726,13745.23,No
A Bichot Pouilly-Fuisse,31.171077947905378,11751.31,No
A Bichot St-Amour Champlette,76.68813809908016,6804.389999999999,No
A Innocenti Nonni Cab Svgn,17.72517321016166,623.52,No
A Proper Pink,29.561200923787535,4442.58,No
A by Acacia Chard Cal,30.033057091530107,30677.23,No
A by Acacia Pnt Nr Cal,34.61215955053806,47345.5,No
A by Acacia Red Cal,45.204336947456206,143.88,No
A by Acacia Unoaked Chard Ca,32.17731973892872,31888.61,No
A to Z Ore Chard,14.612907713750332,51823.43,No
A to Z Pnt Gris Ore,13.85659850612,121242.67,No
A to Z Pnt Nr Ore,17.170860720849255,224192.78,No
A to Z Rose,14.342604535834594,798.53,No
A to Z Rsl,33.313713949381984,1002.41,No
Aalto Ribera Del Duero Red,32.42648529705941,49.99,No
Aberfeldy 12 Yr Single Malt,8.60539662249812,42761.19,No
Aberfeldy 21 Yr Single Malt,43.22839621920815,2879.82,No
Aberfeldy Single Cask,11.204678412029235,9459.62,No
Aberlour 16 Year Old Single,27.23181234777199,103249.72,No
Aberlour A'Bunadh Sngle Malt,23.45801395705218,63976.259999999995,No
Aberlour Glenlivet 12 Yr,27.95076642372773,143989.54,No
Absente  Glass & Spoon Pack,6.100582602290224,11498.41,No
Absente 'Absinthe Refined',27.0172466792652,61679.12,No
Absinthe Ordinaire,29.051027889873343,44666.75,No
Absolut 80 Proof,27.051973257161904,6244752.029999999,No
Absolut Apeach,25.304973301091664,80236.70999999999,No
Absolut Berri Acai,35.18692302655987,45821.0,No
Absolut Cilantro,42.73516586949423,4164.72,No
Absolut Citron,26.353694066347234,1028260.25,No
Absolut Elyx,17.94324664740313,674.85,No
Absolut Grapevine Vodka,82.4375451772712,5672.1,No
Absolut Hibiskus,27.557980900409284,153.93,No
Absolut Mandrin,27.772339878782617,314932.26,No
Absolut Mini Bar 5/50mls,29.64116847658948,123563.28,No
Absolut Orient Apple Vodka,87.65215941303985,119.94,Yes
Absolut Pears,44.785359624231255,109752.69,No
Absolut Peppar,26.142496799133536,77049.45,No
Absolut Peppar Vodka,19.739036184759044,239.88,No
Absolut Raspberri,20.68979663258903,128021.57999999999,No
Absolut Ruby Red,23.568918236201128,299239.07,No
Absolut Spark Vodka,88.7516219744984,24800.019999999997,No
Absolut Vanilia,24.953165208965263,140681.87999999998,No
Absolut Wild Tea,83.9280170310906,901.88,No
Acacia Winery Pnt Nr Carnero,3.499017506252237,447.84,No
Achaval Ferrer Cab Svgn,15.010874293170929,229.89999999999998,No
Achaval Ferrer Malbec,31.219432067937653,41945.509999999995,No
Achaval Ferrer Quimera,33.005532009252605,29358.23,No
Acorn Alegria Vyds Cab Franc,52.1660882734453,2944.94,No
Acorn Cve Alegria Russ Syrah,66.74472393984195,2780.0099999999998,No
Acorn Dolcetto Alegria RRV,57.29752796054264,3023.0099999999998,No
Acorn Medley Alegria RRV,85.08517513248029,1934.25,No
Acorn Sangiovese Alegria RRV,32.769965074013214,8434.98,No
Acquese Moscato D'Asti Dolc,29.584148324576258,14795.66,No
Acrobat King Est Rose Pnt Nr,41.996169295975996,31785.28,No
Acrobat Pnt Gris Oregon,21.702202772559577,110585.18,No
Acumen Moutainside Red Napa,50.564382445034596,114829.05,No
Adaption by Odette Chard,81.47327593270954,3294.97,No
Adelsheim Auxerrois Ribbon S,78.57340919930344,901.5899999999999,No
Adelsheim Bryan Creek Pnt Nr,77.14285714285714,2449.65,No
Adelsheim Caitlins Rsv Chard,61.98561835580847,1639.5900000000001,No
Adelsheim Chard Willmete Vly,45.520725331450876,1813.2399999999998,No
Adelsheim Elizbth RSV Pnt Nr,64.866384274532,2561.45,No
Adelsheim Pnt Gris Ore,24.18825240554732,12788.15,No
Adelsheim Pnt Nr Ore,17.354672914337385,33531.43,No
Adissat Cotes du Rhone,89.62440824003151,1244.17,No
Adissat Gabrielle Ch du Pape,74.8312078019505,639.84,No
Adissat Lirac,80.20126568138438,6176.91,No
Admiral Nelson Egg Nog,79.38753303279962,450.31,Yes
Admiral Nelson Spiced Rum,25.888335078616187,122358.39,No
After Shock Hot & Cool Cinmn,19.916428832752132,87915.35,No
Agave Loco Pepper Cured Teq,45.24807153684694,15159.74,No
Agave Underground Tequila,20.483024669732288,24975.95,No
Agavero Orange Liqueur Agave,40.305924180412596,1209.45,No
Agavero Tequila Liqueur,13.16138961635368,805.6899999999999,No
